t_s,drone_id,lat,lon,heading_deg,speed_kn,kf_std_m,is_lost
31.72,3,54.4388397,18.9253319,327.5,9.0,0.84,0
31.72,4,54.4388404,18.9256937,26.6,11.8,0.84,0
31.72,5,54.4384769,18.9251782,258.4,10.2,0.84,0
31.72,6,54.4383939,18.9249285,238.2,10.4,0.84,0
31.72,7,54.4383097,18.9246604,245.9,16.4,0.84,0
31.72,8,54.4386460,18.9255601,26.9,11.1,0.84,0
32.72,0,54.4386987,18.9253426,336.4,6.3,0.84,0
32.72,1,54.4385621,18.9255598,46.0,10.7,0.84,0
32.72,2,54.4386655,18.9246468,310.4,14.0,0.84,0
32.72,3,54.4388605,18.9253265,326.9,7.4,0.84,0
32.72,4,54.4388499,18.9256951,26.2,14.0,0.84,0
32.72,5,54.4384715,18.9251468,249.6,9.7,0.84,0
32.72,6,54.4383948,18.9248978,238.2,11.1,0.84,0
32.72,7,54.4383169,18.9246207,259.5,15.4,0.84,0
32.72,8,54.4386662,18.9255737,21.1,13.8,0.84,0
33.81,0,54.4387046,18.9253442,331.4,8.0,0.84,0
33.81,1,54.4385630,18.9255861,37.7,10.0,0.84,0
33.81,2,54.4386756,18.9246231,301.0,13.9,0.84,0
33.81,3,54.4388663,18.9253265,330.4,10.7,0.84,0
33.81,4,54.4388666,18.9257064,27.3,14.4,0.84,0
33.81,5,54.4384774,18.9251427,249.2,10.0,0.84,0
33.81,6,54.4383877,18.9248610,234.5,11.8,0.84,0
33.81,7,54.4383134,18.9245905,262.3,13.2,0.84,0
33.81,8,54.4386790,18.9255859,24.4,15.2,0.84,0
34.82,0,54.4387207,18.9253284,323.3,8.4,0.84,0
34.82,1,54.4385723,18.9256037,32.1,9.7,0.84,0
34.82,2,54.4386941,18.9245758,289.6,11.0,0.84,0
34.82,3,54.4388858,18.9253292,334.8,12.8,0.84,0
34.82,4,54.4388982,18.9257253,28.6,12.3,0.84,0
34.82,5,54.4384908,18.9250945,244.1,11.2,0.84,0
34.82,6,54.4383859,18.9248417,230.8,11.6,0.84,0
34.82,7,54.4382999,18.9245560,260.2,10.5,0.84,0
34.82,8,54.4386922,18.9256069,23.1,13.0,0.84,0
35.91,0,54.4387374,18.9253245,318.9,7.5,0.84,0
35.91,1,54.4385844,18.9256171,29.4,10.6,0.84,0
35.91,2,54.4386828,18.9245576,288.1,10.3,0.84,0
35.91,3,54.4388972,18.9253225,343.1,11.4,0.84,0
