t_s,cell_id,centre_lat,centre_lon,staleness_s
50.2,30,54.4470363,18.8713508,-1.0
50.2,31,54.4470363,18.8760390,-1.0
50.2,32,54.4470363,18.8807273,-1.0
50.2,33,54.4470363,18.8854155,-1.0
50.2,34,54.4470363,18.8901037,-1.0
50.2,35,54.4470363,18.8947920,-1.0
50.2,36,54.4497312,18.8572861,-1.0
50.2,37,54.4497312,18.8619743,-1.0
50.2,38,54.4497312,18.8666626,-1.0
50.2,39,54.4497312,18.8713508,-1.0
50.2,40,54.4497312,18.8760390,-1.0
50.2,41,54.4497312,18.8807273,-1.0
50.2,42,54.4497312,18.8854155,-1.0
50.2,43,54.4497312,18.8901037,-1.0
50.2,44,54.4497312,18.8947920,-1.0
50.2,45,54.4524261,18.8572861,-1.0
50.2,46,54.4524261,18.8619743,-1.0
50.2,47,54.4524261,18.8666626,-1.0
50.2,48,54.4524261,18.8713508,-1.0
50.2,49,54.4524261,18.8760390,-1.0
50.2,50,54.4524261,18.8807273,-1.0
50.2,51,54.4524261,18.8854155,-1.0
50.2,52,54.4524261,18.8901037,-1.0
50.2,53,54.4524261,18.8947920,-1.0
50.2,54,54.4551211,18.8572861,-1.0
50.2,55,54.4551211,18.8619743,-1.0
50.2,56,54.4551211,18.8666626,-1.0
50.2,57,54.4551211,18.8713508,-1.0
50.2,58,54.4551211,18.8760390,-1.0
50.2,59,54.4551211,18.8807273,-1.0
50.2,60,54.4551211,18.8854155,-1.0
50.2,61,54.4551211,18.8901037,-1.0
50.2,62,54.4551211,18.8947920,-1.0
50.2,63,54.4578160,18.8572861,-1.0
50.2,64,54.4578160,18.8619743,-1.0
50.2,65,54.4578160,18.8666626,-1.0
50.2,66,54.4578160,18.8713508,-1.0
50.2,67,54.4578160,18.8760390,-1.0
50.2,68,54.4578160,18.8807273,-1.0
50.2,69,54.4578160,18.8854155,-1.0
50.2,70,54.4578160,18.8901037,-1.0
50.2,71,54.4578160,18.8947920,-1.0
50.2,72,54.4605109,18.8572861,-1.0
50.2,73,54.4605109,18.8619743,-1.0
50.2,74,54.4605109,18.8666626,-1.0
50.2,75,54.4605109,18.8713508,-1.0
50.2,76,54.4605109,18.8760390,-1.0
50.2,77,54.4605109,18.8807273,-1.0
50.2,78,54.4605109,18.8854155,-1.0
50.2,79,54.4605109,18.8901037,-1.0
50.2,80,54.4605109,18.8947920,-1.0
50.2,81,54.4632059,18.8572861,-1.0
50.2,82,54.4632059,18.8619743,-1.0
