timestamp,mmsi,name,ship_type,lat,lon,speed_kn,course_deg
2026-04-28T12:22:47.060545+00:00,261185360,NERPA,0,54.310723,18.917557,0.0,360.0
2026-04-28T12:22:47.246441+00:00,477949300,OOCL SWEDEN,0,54.486845,18.972888,9.5,206.6
2026-04-28T12:22:57.164716+00:00,477949300,OOCL SWEDEN,0,54.486453,18.972548,9.5,206.7
2026-04-28T12:23:02.390512+00:00,373191000,FURNESS VICTORIA,0,54.453185,18.828957,0.1,257.2
2026-04-28T12:23:04.016619+00:00,636023947,ASPEN,0,54.44456,18.874202,0.0,280.0
2026-04-28T12:23:08.204376+00:00,477949300,OOCL SWEDEN,0,54.486018,18.972173,9.5,206.7
2026-04-28T12:23:17.857441+00:00,477949300,OOCL SWEDEN,0,54.485622,18.971833,9.5,206.7
2026-04-28T12:23:20.684096+00:00,211397660,SEALING,0,54.450897,18.892345,0.1,60.0
2026-04-28T12:23:28.231700+00:00,477949300,OOCL SWEDEN,0,54.485223,18.9715,9.5,206.7
2026-04-28T12:23:38.311371+00:00,477949300,OOCL SWEDEN,0,54.484835,18.971155,9.5,206.6
2026-04-28T12:23:47.244889+00:00,477949300,OOCL SWEDEN,0,54.4845,18.970837,9.5,206.6
2026-04-28T12:23:57.162541+00:00,477949300,OOCL SWEDEN,0,54.48411,18.97048,9.5,206.6
2026-04-28T12:24:08.201785+00:00,477949300,OOCL SWEDEN,0,54.483715,18.970142,9.5,206.6
2026-04-28T12:24:17.855800+00:00,477949300,OOCL SWEDEN,0,54.48327,18.969778,9.5,206.6
2026-04-28T12:24:24.203811+00:00,636020019,SAKIZAYA TREASURE,0,54.46082,18.843942,0.0,259.8
2026-04-28T12:24:28.229557+00:00,477949300,OOCL SWEDEN,0,54.482867,18.969447,9.5,206.5
2026-04-28T12:24:38.309205+00:00,477949300,OOCL SWEDEN,0,54.48247,18.969113,9.5,206.5
2026-04-28T12:24:47.242983+00:00,477949300,OOCL SWEDEN,0,54.482113,18.968833,9.4,206.5
2026-04-28T12:24:57.166486+00:00,477949300,OOCL SWEDEN,0,54.481727,18.968528,9.4,206.5
2026-04-28T12:25:08.206272+00:00,477949300,OOCL SWEDEN,0,54.481295,18.968155,9.4,206.5
2026-04-28T12:25:09.753596+00:00,261185430,MANAT,52,54.310838,18.917088,0.0,360.0
2026-04-28T12:25:28.233708+00:00,477949300,OOCL SWEDEN,0,54.480525,18.967458,9.4,206.5
2026-04-28T12:25:38.115758+00:00,261187610,FIORETTO,0,54.289155,18.9216,0.0,302.2
2026-04-28T12:25:38.313120+00:00,477949300,OOCL SWEDEN,0,54.480145,18.967132,9.4,206.5
2026-04-28T12:25:46.527205+00:00,261185360,NERPA,0,54.310737,18.917543,0.0,360.0
2026-04-28T12:25:47.247109+00:00,477949300,OOCL SWEDEN,0,54.479792,18.966822,9.4,206.4
2026-04-28T12:25:57.218771+00:00,373191000,FURNESS VICTORIA,0,54.453188,18.829083,0.1,257.2
2026-04-28T12:25:57.404486+00:00,477949300,OOCL SWEDEN,0,54.47935,18.96644,9.4,206.4
2026-04-28T12:26:08.204401+00:00,477949300,OOCL SWEDEN,0,54.478952,18.966092,9.4,206.4
